á	a u
áætlað	a u a i h t l a ð
áætlanir	a u a i t l a n ɪ r
áætlun	a u a i h t l ʏ n
áætlunarferðir	a u a i h t l ʏ n a r f ɛ r ð ɪ r
áætlunin	a u a i h t l ʏ n ɪ n
áætlunum	a u a i h t l ʏ n ʏ m
aage	a a k ɛ
aagot	a a k ɔ t
abba	a p a
abel	a p ɛ l
abela	a p ɛ l a
ábending	a u p ɛ n t i ŋ k
ábendingar	a u p ɛ n t i ŋ k a r
ábendingarnar	a u p ɛ n t i ŋ k a r t n a r
ábendingu	a u p ɛ n t i ŋ k ʏ
áberandi	a u p ɛ r a n t ɪ
abigael	a p ɪ ɣ a ɛ l
ábótavant	a u p o u t a v a n̥ t
abraham	a p r a h a m
ábreiður	a u p r e i ð ʏ r
áburður	a u p ʏ r ð ʏ r
ábyggilega	a u p ɪ c ɪ l ɛ ɣ a
ábyrga	a u p ɪ r k a
ábyrgar	a u p ɪ r k a r
ábyrgð	a u p ɪ r̥ ɣ ð
ábyrgðar	a u p ɪ r̥ ɣ ð a r
ábyrgðarleysi	a u p ɪ r̥ ɣ ð a r l e i s ɪ
ábyrgðarmenn	a u p ɪ r̥ ɣ ð a r m ɛ n
ábyrgðin	a u p ɪ r̥ ɣ ð ɪ n
ábyrgðir	a u p ɪ r̥ ɣ ð ɪ r
að	a ð
aðal	a ð a l
aðaláherslan	a ð a l a u h ɛ r̥ s t l a n
aðalberg	a ð a l p ɛ r k
aðalbergur	a ð a l p ɛ r k ʏ r
aðalbert	a ð a l p ɛ r̥ t
aðalbjörg	a ð a l p j œ r k
aðalbjörn	a ð a l p j œ r t n
aðalbjört	a ð a l p j œ r̥ t
aðalbóli	a ð a l p o u l ɪ
aðalborg	a ð a l p ɔ r k
aðalbraut	a ð a l p r ø y t
aðalbyggingunni	a ð a l p ɪ c i ŋ k ʏ n ɪ
aðaldal	a ð a l t a l
aðaldeiluefni	a ð a l t e i l ʏ ɛ p n ɪ
aðalfríður	a ð a l f r i ð ʏ r
aðalfund	a ð a l f ʏ n t
aðalfundi	a ð a l f ʏ n t ɪ
aðalfundur	a ð a l v ʏ n t ʏ r
aðalgötu	a ð a l k œ t ʏ
aðalheiður	a ð a l h e i ð ʏ r
aðalhlutverki	a ð a l l̥ ʏ t v ɛ r̥ k ɪ
aðalhlutverkum	a ð a l l̥ ʏ t v ɛ r̥ k ʏ m
aðalkeppnina	a ð a l cʰ ɛ h p n ɪ n a
aðalkeppninni	a ð a l cʰ ɛ h p n ɪ n ɪ
aðallandi	a ð a l l a n t ɪ
aðallega	a ð a l l ɛ ɣ a
aðalmálið	a ð a l m a u l ɪ ð
aðalmundur	a ð a l m ʏ n t ʏ r
aðalnámskrá	a ð a l n a u m s k r a u
aðalráður	a ð a l r a u ð ʏ r
aðalrós	a ð a l r o u s
aðalskipulag	a ð a l s k ɪ p ʏ l a ɣ
aðalsteina	a ð a l s t e i n a
aðalsteinunn	a ð a l s t e i n ʏ n
aðalstræti	a ð a l s t r a i t ɪ
aðaltjörn	a ð a l tʰ j œ r t n
aðaltúni	a ð a l tʰ u n ɪ
aðalútbreiðslusvæði	a ð a l u t p r e i ð s t l ʏ s v a i ð ɪ
aðalveig	a ð a l v e i ɣ
aðalþingi	a ð a l θ i ŋ c ɪ
adam	a t a m
áðan	a u ð a n
aðbúnað	a ð p u n a ð
